code,rid
N,1482943
N,1482941
>,1482972
>,1482968
>,1482948
>,1482961
>,1482949
N,1482946
N,1482942
>,1482977
<,1482947
<,1482992
<,1482993
>,1482975
N,1482990
<,1483213
<,1483227
>,1483270
N,1483255
N,1483274
N,1483276
N,1483277
N,1483278
<,1483595
<,1483594
<,1483790
>,1483565
N,1483602
<,1483905
<,1483904
<,1483910
<,1483156
N,1483677
N,1483678
N,1483688
>,1484013
N,1483738
<,1484032
<,1484040
<,1484039
<,1484046
<,1484045
N,1483845
N,1483256
<,1483259
N,1483872
N,1483275
N,1483873
>,1483653
<,1483874
N,1483875
N,1483279
N,1483915
<,1484184
<,1484183
N,1483539
<,1484238
N,1483603
<,1484243
<,1484242
N,1483676
N,1483679
N,1483689
<,1484255
N,1484171
N,1484177
N,1484179
N,1483739
N,1484180
<,1484277
N,1484181
N,1483754
<,1483772
N,1483794
N,1484194
N,1484208
N,1484214
<,1483825
N,1484219
N,1483871
<,1484336
<,1484335
<,1483876
N,1483916
<,1484378
<,1484409
N,1484346
<,1484427
N,1484347
<,1484348
N,1484349
>,1484442
>,1484020
>,1484312
N,1484178
<,1484464
<,1484463
N,1484182
<,1484191
<,1484210
<,1484482
N,1484215
>,1484568
N,1484457
N,1484458
N,1484316
<,1484333
N,1484511
N,1484345
<,1484513
N,1484514
N,1484515
<,1484350
<,1484543
<,1484363
<,1484364
N,1484370
<,1484382
>,1484620
N,1484588
N,1484589
<,1484605
<,1484606
N,1484456
N,1484512
N,1484516
N,1484587
<,1484666
N,1484682
<,1484683
<,1484684
N,1484685
N,1484671
N,1484681
<,1484686
N,1484694
N,1484703
>,1484704
N,1484705
<,1485114
<,1485121
N,1484718
<,1484910
<,1484909
<,1484948
<,1484947
<,1485126
<,1485125
N,1484790
N,1484856
>,1485209
N,1484862
<,1485270
N,1484953
N,1484954
N,1484971
N,1484976
N,1484982
N,1484985
N,1484986
N,1484987
N,1484988
N,1484997
N,1485062
N,1484719
N,1485064
N,1485065
N,1485066
N,1484726
N,1485208
N,1485218
<,1485570
N,1485353
N,1485354
<,1485355
N,1485356
N,1485367
N,1485369
N,1485370
N,1485371
<,1485709
N,1485468
N,1485470
N,1485471
N,1485472
N,1484778
N,1485474
<,1485476
N,1485477
N,1485478
N,1485490
N,1485534
N,1484838
<,1484897
N,1484931
N,1484972
N,1484977
N,1484983
N,1484984
<,1484989
N,1484990
N,1484998
N,1485049
N,1485063
N,1485677
N,1485678
N,1485067
N,1485161
N,1485352
<,1485357
N,1485368
N,1485372
<,1485398
N,1485439
N,1485469
N,1485826
<,1485828
N,1485829
<,1485473
N,1485830
N,1485475
<,1485479
<,1485552
<,1485577
N,1485676
N,1485930
N,1485932
<,1485936
N,1485940
N,1485827
<,1485831
<,1485832
>,1485858
>,1485857
<,1485916
<,1485926
<,1485925
<,1485847
<,1485848
<,1485960
<,1485959
N,1485897
N,1485905
<,1485985
N,1485909
N,1485910
<,1485989
<,1486042
<,1485998
N,1485938
N,1485939
<,1486019
<,1486018
N,1486005
N,1486006
<,1486082
<,1486052
<,1486051
N,1485912
N,1485915
N,1485937
<,1486034
N,1486035
<,1486057
<,1486099
N,1486115
N,1486124
<,1486448
<,1486450
<,1486454
>,1487022
d,1487022
n,1487022
> Conc Range,1487022
>,1487023
d,1487023
n,1487023
> Conc Range,1487023
N,1486245
N,1486250
<,1486596
>,1487015
> Conc Range,1487015
<,1486924
<,1487199
<,1487203
N,1486516
