Id,InstrumentFlag.Instrument.Name,InstrumentFlag.Code,Result
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%
%% Application: CENTRALINK
%% Version: 16.0.3
%% Table: ResultFlag
%% Exported on: 08/09/19 at 19:53:56
%% Exported by: batch
%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
32956,DMS_Immulite2000_1,<,1452699
32959,DMS_AdviaCentaur_2,>,1460033
32963,DMS_AdviaCentaur_2,<,1458276
32964,DMS_AdviaCentaur_2,<,1458275
32966,DMS_AdviaCentaur_2,<,1458484
32970,DMS_Immulite2000_1,<,1452894
32975,DMS_Immulite2000_1,N,1452899
32976,DMS_Immulite2000_1,<,1454207
32977,DMS_AdviaCentaur_2,>,1458805
32978,DMS_Immulite2000_1,<,1454257
32979,DMS_ChemistryXPT_1,<,1459853
32980,DMS_ChemistryXPT_1,< Conc Range,1459853
32981,DMS_ChemistryXPT_1,>,1459530
32982,DMS_ChemistryXPT_1,> Conc Range,1459530
32983,DMS_Immulite2000_1,N,1454602
32984,DMS_AdviaCentaur_2,>,1459649
32985,DMS_Immulite2000_1,N,1454826
32986,DMS_ChemistryXPT_1,<,1460159
32987,DMS_ChemistryXPT_1,< Conc Range,1460159
32988,DMS_Immulite2000_1,N,1454831
32989,DMS_AdviaCentaur_2,<,1459754
32990,DMS_Immulite2000_1,N,1455088
32991,DMS_Immulite2000_1,<,1455092
32992,DMS_AdviaCentaur_3,>,1456998
32993,DMS_Immulite2000_1,<,1455295
32994,DMS_Immulite2000_1,<,1455356
32995,DMS_AdviaCentaur_2,>,1459812
32998,DMS_AdviaCentaur_2,>,1460189
33000,DMS_Immulite2000_1,N,1455743
33001,DMS_Immulite2000_1,N,1455888
33002,DMS_Immulite2000_1,N,1459318
33003,DMS_Immulite2000_1,<,1459320
33004,DMS_Immulite2000_1,N,1459321
33005,DMS_Immulite2000_1,N,1459322
33006,DMS_Immulite2000_1,<,1456137
33007,DMS_AdviaCentaur_2,>,1460363
